A,B
payment_type,payment_lookup
Cas,Cash
CAS,Cash
Cre,Credit
CRE,Credit
No ,No Charge
Dis,Dispute
Cash,Cash
CASH,Cash
Credit,Credit
CREDIT,Credit
No Charge,No Charge
Dispute,Dispute
CRD,Credit
CSH,Cash
NOC,No Charge
DIS,Dispute
UNK,Unknown
1,Foo
2,Foo
3,Foo
4,Foo
5,Foo
6,Foo
7,Foo
8,Foo
9,Foo
10,Foo
11,Foo
12,Foo
13,Foo
14,Foo
15,Foo
16,Foo
17,Foo
18,Foo
19,Foo
20,Foo
21,Foo
22,Foo
23,Foo
24,Foo
25,Foo
26,Foo
27,Foo
28,Foo
29,Foo
30,Foo
31,Foo
32,Foo
33,Foo
34,Foo
35,Foo
36,Foo
37,Foo
38,Foo
39,Foo
40,Foo
41,Foo
42,Foo
43,Foo
44,Foo
45,Foo
46,Foo
47,Foo
48,Foo
49,Foo
50,Foo
51,Foo
52,Foo
53,Foo
54,Foo
55,Foo
56,Foo
57,Foo
58,Foo
59,Foo
60,Foo
61,Foo
62,Foo
63,Foo
64,Foo
65,Foo
66,Foo
67,Foo
68,Foo
69,Foo
70,Foo
71,Foo
72,Foo
73,Foo
74,Foo
75,Foo
76,Foo
77,Foo
78,Foo
79,Foo
80,Foo
81,Foo
82,Foo
83,Foo
84,Foo
85,Foo
86,Foo
87,Foo
88,Foo
89,Foo
90,Foo
91,Foo
92,Foo
93,Foo
94,Foo
95,Foo
96,Foo
97,Foo
98,Foo
99,Foo
100,Foo
101,Foo
102,Foo
103,Foo
104,Foo
105,Foo
106,Foo
107,Foo
108,Foo
109,Foo
110,Foo
111,Foo
112,Foo
113,Foo
114,Foo
115,Foo
116,Foo
117,Foo
118,Foo
119,Foo
120,Foo
121,Foo
122,Foo
123,Foo
124,Foo
125,Foo
126,Foo
127,Foo
128,Foo
129,Foo
130,Foo
131,Foo
132,Foo
133,Foo
134,Foo
135,Foo
136,Foo
137,Foo
138,Foo
139,Foo
140,Foo
141,Foo
142,Foo
143,Foo
144,Foo
145,Foo
146,Foo
147,Foo
148,Foo
149,Foo
150,Foo
151,Foo
152,Foo
153,Foo
154,Foo
155,Foo
156,Foo
157,Foo
158,Foo
159,Foo
160,Foo
161,Foo
162,Foo
163,Foo
164,Foo
165,Foo
166,Foo
167,Foo
168,Foo
169,Foo
170,Foo
171,Foo
172,Foo
173,Foo
174,Foo
175,Foo
176,Foo
177,Foo
178,Foo
179,Foo
180,Foo
181,Foo
182,Foo
183,Foo
184,Foo
185,Foo
186,Foo
187,Foo
188,Foo
189,Foo
190,Foo
191,Foo
192,Foo
193,Foo
194,Foo
195,Foo
196,Foo
197,Foo
198,Foo
199,Foo
200,Foo
201,Foo
202,Foo
203,Foo
204,Foo
205,Foo
206,Foo
207,Foo
208,Foo
209,Foo
210,Foo
211,Foo
212,Foo
213,Foo
214,Foo
215,Foo
216,Foo
217,Foo
218,Foo
219,Foo
220,Foo
221,Foo
222,Foo
223,Foo
224,Foo
225,Foo
226,Foo
227,Foo
228,Foo
229,Foo
230,Foo
231,Foo
232,Foo
233,Foo
234,Foo
235,Foo
236,Foo
237,Foo
238,Foo
239,Foo
240,Foo
241,Foo
242,Foo
243,Foo
244,Foo
245,Foo
246,Foo
247,Foo
248,Foo
249,Foo
250,Foo
251,Foo
252,Foo
253,Foo
254,Foo
255,Foo
256,Foo
257,Foo
258,Foo
259,Foo
260,Foo
261,Foo
262,Foo
263,Foo
264,Foo
265,Foo
266,Foo
267,Foo
268,Foo
269,Foo
270,Foo
271,Foo
272,Foo
273,Foo
274,Foo
275,Foo
276,Foo
277,Foo
278,Foo
279,Foo
280,Foo
281,Foo
282,Foo
283,Foo
284,Foo
285,Foo
286,Foo
287,Foo
288,Foo
289,Foo
290,Foo
291,Foo
292,Foo
293,Foo
294,Foo
295,Foo
296,Foo
297,Foo
298,Foo
299,Foo
300,Foo
301,Foo
302,Foo
303,Foo
304,Foo
305,Foo
306,Foo
307,Foo
308,Foo
309,Foo
310,Foo
311,Foo
312,Foo
313,Foo
314,Foo
315,Foo
316,Foo
317,Foo
318,Foo
319,Foo
320,Foo
321,Foo
322,Foo
323,Foo
324,Foo
325,Foo
326,Foo
327,Foo
328,Foo
329,Foo
330,Foo
331,Foo
332,Foo
333,Foo
334,Foo
335,Foo
336,Foo
337,Foo
338,Foo
339,Foo
340,Foo
341,Foo
342,Foo
343,Foo
344,Foo
345,Foo
346,Foo
347,Foo
348,Foo
349,Foo
350,Foo
351,Foo
352,Foo
353,Foo
354,Foo
355,Foo
356,Foo
357,Foo
358,Foo
359,Foo
360,Foo
361,Foo
362,Foo
363,Foo
364,Foo
365,Foo
366,Foo
367,Foo
368,Foo
369,Foo
370,Foo
371,Foo
372,Foo
373,Foo
374,Foo
375,Foo
376,Foo
377,Foo
378,Foo
379,Foo
380,Foo
381,Foo
382,Foo
383,Foo
384,Foo
385,Foo
386,Foo
387,Foo
388,Foo
389,Foo
390,Foo
391,Foo
392,Foo
393,Foo
394,Foo
395,Foo
396,Foo
397,Foo
398,Foo
399,Foo
400,Foo
401,Foo
402,Foo
403,Foo
404,Foo
405,Foo
406,Foo
407,Foo
408,Foo
409,Foo
410,Foo
411,Foo
412,Foo
413,Foo
414,Foo
415,Foo
416,Foo
417,Foo
418,Foo
419,Foo
420,Foo
421,Foo
422,Foo
423,Foo
424,Foo
425,Foo
426,Foo
427,Foo
428,Foo
429,Foo
430,Foo
431,Foo
432,Foo
433,Foo
434,Foo
435,Foo
436,Foo
437,Foo
438,Foo
439,Foo
440,Foo
441,Foo
442,Foo
443,Foo
444,Foo
445,Foo
446,Foo
447,Foo
448,Foo
449,Foo
450,Foo
451,Foo
452,Foo
453,Foo
454,Foo
455,Foo
456,Foo
457,Foo
458,Foo
459,Foo
460,Foo
461,Foo
462,Foo
463,Foo
464,Foo
465,Foo
466,Foo
467,Foo
468,Foo
469,Foo
470,Foo
471,Foo
472,Foo
473,Foo
474,Foo
475,Foo
476,Foo
477,Foo
478,Foo
479,Foo
480,Foo
481,Foo
482,Foo
483,Foo
484,Foo
485,Foo
486,Foo
487,Foo
488,Foo
489,Foo
490,Foo
491,Foo
492,Foo
493,Foo
494,Foo
495,Foo
496,Foo
497,Foo
498,Foo
499,Foo
500,Foo
501,Foo
502,Foo
503,Foo
504,Foo
505,Foo
506,Foo
507,Foo
508,Foo
509,Foo
510,Foo
511,Foo
512,Foo
513,Foo
514,Foo
515,Foo
516,Foo
517,Foo
518,Foo
519,Foo
520,Foo
521,Foo
522,Foo
523,Foo
524,Foo
525,Foo
526,Foo
527,Foo
528,Foo
529,Foo
530,Foo
531,Foo
532,Foo
533,Foo
534,Foo
535,Foo
536,Foo
537,Foo
538,Foo
539,Foo
540,Foo
541,Foo
542,Foo
543,Foo
544,Foo
545,Foo
546,Foo
547,Foo
548,Foo
549,Foo
550,Foo
551,Foo
552,Foo
553,Foo
554,Foo
555,Foo
556,Foo
557,Foo
558,Foo
559,Foo
560,Foo
561,Foo
562,Foo
563,Foo
564,Foo
565,Foo
566,Foo
567,Foo
568,Foo
569,Foo
570,Foo
571,Foo
572,Foo
573,Foo
574,Foo
575,Foo
576,Foo
577,Foo
578,Foo
579,Foo
580,Foo
581,Foo
582,Foo
583,Foo
584,Foo
585,Foo
586,Foo
587,Foo
588,Foo
589,Foo
590,Foo
591,Foo
592,Foo
593,Foo
594,Foo
595,Foo
596,Foo
597,Foo
598,Foo
599,Foo
600,Foo
601,Foo
602,Foo
603,Foo
604,Foo
605,Foo
606,Foo
607,Foo
608,Foo
609,Foo
610,Foo
611,Foo
612,Foo
613,Foo
614,Foo
615,Foo
616,Foo
617,Foo
618,Foo
619,Foo
620,Foo
621,Foo
622,Foo
623,Foo
624,Foo
625,Foo
626,Foo
627,Foo
628,Foo
629,Foo
630,Foo
631,Foo
632,Foo
633,Foo
634,Foo
635,Foo
636,Foo
637,Foo
638,Foo
639,Foo
640,Foo
641,Foo
642,Foo
643,Foo
644,Foo
645,Foo
646,Foo
647,Foo
648,Foo
649,Foo
650,Foo
651,Foo
652,Foo
653,Foo
654,Foo
655,Foo
656,Foo
657,Foo
658,Foo
659,Foo
660,Foo
661,Foo
662,Foo
663,Foo
664,Foo
665,Foo
666,Foo
667,Foo
668,Foo
669,Foo
670,Foo
671,Foo
672,Foo
673,Foo
674,Foo
675,Foo
676,Foo
677,Foo
678,Foo
679,Foo
680,Foo
681,Foo
682,Foo
683,Foo
684,Foo
685,Foo
686,Foo
687,Foo
688,Foo
689,Foo
690,Foo
691,Foo
692,Foo
693,Foo
694,Foo
695,Foo
696,Foo
697,Foo
698,Foo
699,Foo
700,Foo
701,Foo
702,Foo
703,Foo
704,Foo
705,Foo
706,Foo
707,Foo
708,Foo
709,Foo
710,Foo
711,Foo
712,Foo
713,Foo
714,Foo
715,Foo
716,Foo
717,Foo
718,Foo
719,Foo
720,Foo
721,Foo
722,Foo
723,Foo
724,Foo
725,Foo
726,Foo
727,Foo
728,Foo
729,Foo
730,Foo
731,Foo
732,Foo
733,Foo
734,Foo
735,Foo
736,Foo
737,Foo
738,Foo
739,Foo
740,Foo
741,Foo
742,Foo
743,Foo
744,Foo
745,Foo
746,Foo
747,Foo
748,Foo
749,Foo
750,Foo
751,Foo
752,Foo
753,Foo
754,Foo
755,Foo
756,Foo
757,Foo
758,Foo
759,Foo
760,Foo
761,Foo
762,Foo
763,Foo
764,Foo
765,Foo
766,Foo
767,Foo
768,Foo
769,Foo
770,Foo
771,Foo
772,Foo
773,Foo
774,Foo
775,Foo
776,Foo
777,Foo
778,Foo
779,Foo
780,Foo
781,Foo
782,Foo
783,Foo
784,Foo
785,Foo
786,Foo
787,Foo
788,Foo
789,Foo
790,Foo
791,Foo
792,Foo
793,Foo
794,Foo
795,Foo
796,Foo
797,Foo
798,Foo
799,Foo
800,Foo
801,Foo
802,Foo
803,Foo
804,Foo
805,Foo
806,Foo
807,Foo
808,Foo
809,Foo
810,Foo
811,Foo
812,Foo
813,Foo
814,Foo
815,Foo
816,Foo
817,Foo
818,Foo
819,Foo
820,Foo
821,Foo
822,Foo
823,Foo
824,Foo
825,Foo
826,Foo
827,Foo
828,Foo
829,Foo
830,Foo
831,Foo
832,Foo
833,Foo
834,Foo
835,Foo
836,Foo
837,Foo
838,Foo
839,Foo
840,Foo
841,Foo
842,Foo
843,Foo
844,Foo
845,Foo
846,Foo
847,Foo
848,Foo
849,Foo
850,Foo
851,Foo
852,Foo
853,Foo
854,Foo
855,Foo
856,Foo
857,Foo
858,Foo
859,Foo
860,Foo
861,Foo
862,Foo
863,Foo
864,Foo
865,Foo
866,Foo
867,Foo
868,Foo
869,Foo
870,Foo
871,Foo
872,Foo
873,Foo
874,Foo
875,Foo
876,Foo
877,Foo
878,Foo
879,Foo
880,Foo
881,Foo
882,Foo
883,Foo
884,Foo
885,Foo
886,Foo
887,Foo
888,Foo
889,Foo
890,Foo
891,Foo
892,Foo
893,Foo
894,Foo
895,Foo
896,Foo
897,Foo
898,Foo
899,Foo
900,Foo
901,Foo
902,Foo
903,Foo
904,Foo
905,Foo
906,Foo
907,Foo
908,Foo
909,Foo
910,Foo
911,Foo
912,Foo
913,Foo
914,Foo
915,Foo
916,Foo
917,Foo
918,Foo
919,Foo
920,Foo
921,Foo
922,Foo
923,Foo
924,Foo
925,Foo
926,Foo
927,Foo
928,Foo
929,Foo
930,Foo
931,Foo
932,Foo
933,Foo
934,Foo
935,Foo
936,Foo
937,Foo
938,Foo
939,Foo
940,Foo
941,Foo
942,Foo
943,Foo
944,Foo
945,Foo
946,Foo
947,Foo
948,Foo
949,Foo
950,Foo
951,Foo
952,Foo
953,Foo
954,Foo
955,Foo
956,Foo
957,Foo
958,Foo
959,Foo
960,Foo
961,Foo
962,Foo
963,Foo
964,Foo
965,Foo
966,Foo
967,Foo
968,Foo
969,Foo
970,Foo
971,Foo
972,Foo
973,Foo
974,Foo
975,Foo
976,Foo
977,Foo
978,Foo
979,Foo
980,Foo
981,Foo
982,Foo
983,Foo
984,Foo
985,Foo
986,Foo
987,Foo
988,Foo
989,Foo
990,Foo
991,Foo
992,Foo
993,Foo
994,Foo
995,Foo
996,Foo
997,Foo
998,Foo
999,Foo
1000,Foo
1001,Foo
1002,Foo
1003,Foo
1004,Foo
1005,Foo
1006,Foo
1007,Foo
1008,Foo
1009,Foo
1010,Foo
1011,Foo
1012,Foo
1013,Foo
1014,Foo
1015,Foo
1016,Foo
1017,Foo
1018,Foo
1019,Foo
1020,Foo
1021,Foo
1022,Foo
1023,Foo
1024,Foo
1025,Foo
1026,Foo
1027,Foo
1028,Foo
1029,Foo
1030,Foo
1031,Foo
1032,Foo
1033,Foo
1034,Foo
1035,Foo
1036,Foo
1037,Foo
1038,Foo
1039,Foo
1040,Foo
1041,Foo
1042,Foo
1043,Foo
1044,Foo
1045,Foo
1046,Foo
1047,Foo
1048,Foo
1049,Foo
1050,Foo
1051,Foo
1052,Foo
1053,Foo
1054,Foo
1055,Foo
1056,Foo
1057,Foo
1058,Foo
1059,Foo
1060,Foo
1061,Foo
1062,Foo
1063,Foo
1064,Foo
1065,Foo
1066,Foo
1067,Foo
1068,Foo
1069,Foo
1070,Foo
1071,Foo
1072,Foo
1073,Foo
1074,Foo
1075,Foo
1076,Foo
1077,Foo
1078,Foo
1079,Foo
1080,Foo
1081,Foo
1082,Foo
1083,Foo
1084,Foo
1085,Foo
1086,Foo
1087,Foo
1088,Foo
1089,Foo
1090,Foo
1091,Foo
1092,Foo
1093,Foo
1094,Foo
1095,Foo
1096,Foo
1097,Foo
1098,Foo
1099,Foo
1100,Foo
1101,Foo
1102,Foo
1103,Foo
1104,Foo
1105,Foo
1106,Foo
1107,Foo
1108,Foo
1109,Foo
1110,Foo
1111,Foo
1112,Foo
1113,Foo
1114,Foo
1115,Foo
1116,Foo
1117,Foo
1118,Foo
1119,Foo
1120,Foo
1121,Foo
1122,Foo
1123,Foo
1124,Foo
1125,Foo
1126,Foo
1127,Foo
1128,Foo
1129,Foo
1130,Foo
1131,Foo
1132,Foo
1133,Foo
1134,Foo
1135,Foo
1136,Foo
1137,Foo
1138,Foo
1139,Foo
1140,Foo
1141,Foo
1142,Foo
1143,Foo
1144,Foo
1145,Foo
1146,Foo
1147,Foo
1148,Foo
1149,Foo
1150,Foo
1151,Foo
1152,Foo
1153,Foo
1154,Foo
1155,Foo
1156,Foo
1157,Foo
1158,Foo
1159,Foo
1160,Foo
1161,Foo
1162,Foo
1163,Foo
1164,Foo
1165,Foo
1166,Foo
1167,Foo
1168,Foo
1169,Foo
1170,Foo
1171,Foo
1172,Foo
1173,Foo
1174,Foo
1175,Foo
1176,Foo
1177,Foo
1178,Foo
1179,Foo
1180,Foo
1181,Foo
1182,Foo
1183,Foo
1184,Foo
1185,Foo
1186,Foo
1187,Foo
1188,Foo
1189,Foo
1190,Foo
1191,Foo
1192,Foo
1193,Foo
1194,Foo
1195,Foo
1196,Foo
1197,Foo
1198,Foo
1199,Foo
1200,Foo
1201,Foo
1202,Foo
1203,Foo
1204,Foo
1205,Foo
1206,Foo
1207,Foo
1208,Foo
1209,Foo
1210,Foo
1211,Foo
1212,Foo
1213,Foo
1214,Foo
1215,Foo
1216,Foo
1217,Foo
1218,Foo
1219,Foo
1220,Foo
1221,Foo
1222,Foo
1223,Foo
1224,Foo
1225,Foo
1226,Foo
1227,Foo
1228,Foo
1229,Foo
1230,Foo
1231,Foo
1232,Foo
1233,Foo
1234,Foo
1235,Foo
1236,Foo
1237,Foo
1238,Foo
1239,Foo
1240,Foo
1241,Foo
1242,Foo
1243,Foo
1244,Foo
1245,Foo
1246,Foo
1247,Foo
1248,Foo
1249,Foo
1250,Foo
1251,Foo
1252,Foo
1253,Foo
1254,Foo
1255,Foo
1256,Foo
1257,Foo
1258,Foo
1259,Foo
1260,Foo
1261,Foo
1262,Foo
1263,Foo
1264,Foo
1265,Foo
1266,Foo
1267,Foo
1268,Foo
1269,Foo
1270,Foo
1271,Foo
1272,Foo
1273,Foo
1274,Foo
1275,Foo
1276,Foo
1277,Foo
1278,Foo
1279,Foo
1280,Foo
1281,Foo
1282,Foo
1283,Foo
1284,Foo
1285,Foo
1286,Foo
1287,Foo
1288,Foo
1289,Foo
1290,Foo
1291,Foo
1292,Foo
1293,Foo
1294,Foo
1295,Foo
1296,Foo
1297,Foo
1298,Foo
1299,Foo
1300,Foo
1301,Foo
1302,Foo
1303,Foo
1304,Foo
1305,Foo
1306,Foo
1307,Foo
1308,Foo
1309,Foo
1310,Foo
1311,Foo
1312,Foo
1313,Foo
1314,Foo
1315,Foo
1316,Foo
1317,Foo
1318,Foo
1319,Foo
1320,Foo
1321,Foo
1322,Foo
1323,Foo
1324,Foo
1325,Foo
1326,Foo
1327,Foo
1328,Foo
1329,Foo
1330,Foo
1331,Foo
1332,Foo
1333,Foo
1334,Foo
1335,Foo
1336,Foo
1337,Foo
1338,Foo
1339,Foo
1340,Foo
1341,Foo
1342,Foo
1343,Foo
1344,Foo
1345,Foo
1346,Foo
1347,Foo
1348,Foo
1349,Foo
1350,Foo
1351,Foo
1352,Foo
1353,Foo
1354,Foo
1355,Foo
1356,Foo
1357,Foo
1358,Foo
1359,Foo
1360,Foo
1361,Foo
1362,Foo
1363,Foo
1364,Foo
1365,Foo
1366,Foo
1367,Foo
1368,Foo
1369,Foo
1370,Foo
1371,Foo
1372,Foo
1373,Foo
1374,Foo
1375,Foo
1376,Foo
1377,Foo
1378,Foo
1379,Foo
1380,Foo
1381,Foo
1382,Foo
1383,Foo
1384,Foo
1385,Foo
1386,Foo
1387,Foo
1388,Foo
1389,Foo
1390,Foo
1391,Foo
1392,Foo
1393,Foo
1394,Foo
1395,Foo
1396,Foo
1397,Foo
1398,Foo
1399,Foo
1400,Foo
1401,Foo
1402,Foo
1403,Foo
1404,Foo
1405,Foo
1406,Foo
1407,Foo
1408,Foo
1409,Foo
1410,Foo
1411,Foo
1412,Foo
1413,Foo
1414,Foo
1415,Foo
1416,Foo
1417,Foo
1418,Foo
1419,Foo
1420,Foo
1421,Foo
1422,Foo
1423,Foo
1424,Foo
1425,Foo
1426,Foo
1427,Foo
1428,Foo
1429,Foo
1430,Foo
1431,Foo
1432,Foo
1433,Foo
1434,Foo
1435,Foo
1436,Foo
1437,Foo
1438,Foo
1439,Foo
1440,Foo
1441,Foo
1442,Foo
1443,Foo
1444,Foo
1445,Foo
1446,Foo
1447,Foo
1448,Foo
1449,Foo
1450,Foo
1451,Foo
1452,Foo
1453,Foo
1454,Foo
1455,Foo
1456,Foo
1457,Foo
1458,Foo
1459,Foo
1460,Foo
1461,Foo
1462,Foo
1463,Foo
1464,Foo
1465,Foo
1466,Foo
1467,Foo
1468,Foo
1469,Foo
1470,Foo
1471,Foo
1472,Foo
1473,Foo
1474,Foo
1475,Foo
1476,Foo
1477,Foo
1478,Foo
1479,Foo
1480,Foo
1481,Foo
1482,Foo
1483,Foo
1484,Foo
1485,Foo
1486,Foo
1487,Foo
1488,Foo
1489,Foo
1490,Foo
1491,Foo
1492,Foo
1493,Foo
1494,Foo
1495,Foo
1496,Foo
1497,Foo
1498,Foo
1499,Foo
1500,Foo
1501,Foo
1502,Foo
1503,Foo
1504,Foo
1505,Foo
1506,Foo
1507,Foo
1508,Foo
1509,Foo
1510,Foo
1511,Foo
1512,Foo
1513,Foo
1514,Foo
1515,Foo
1516,Foo
1517,Foo
1518,Foo
1519,Foo
1520,Foo
1521,Foo
1522,Foo
1523,Foo
1524,Foo
1525,Foo
1526,Foo
1527,Foo
1528,Foo
1529,Foo
1530,Foo
1531,Foo
1532,Foo
1533,Foo
1534,Foo
1535,Foo
1536,Foo
1537,Foo
1538,Foo
1539,Foo
1540,Foo
1541,Foo
1542,Foo
1543,Foo
1544,Foo
1545,Foo
1546,Foo
1547,Foo
1548,Foo
1549,Foo
1550,Foo
1551,Foo
1552,Foo
1553,Foo
1554,Foo
1555,Foo
1556,Foo
1557,Foo
1558,Foo
1559,Foo
1560,Foo
1561,Foo
1562,Foo
1563,Foo
1564,Foo
1565,Foo
1566,Foo
1567,Foo
1568,Foo
1569,Foo
1570,Foo
1571,Foo
1572,Foo
1573,Foo
1574,Foo
1575,Foo
1576,Foo
1577,Foo
1578,Foo
1579,Foo
1580,Foo
1581,Foo
1582,Foo
1583,Foo
1584,Foo
1585,Foo
1586,Foo
1587,Foo
1588,Foo
1589,Foo
1590,Foo
1591,Foo
1592,Foo
1593,Foo
1594,Foo
1595,Foo
1596,Foo
1597,Foo
1598,Foo
1599,Foo
1600,Foo
1601,Foo
1602,Foo
1603,Foo
1604,Foo
1605,Foo
1606,Foo
1607,Foo
1608,Foo
1609,Foo
1610,Foo
1611,Foo
1612,Foo
1613,Foo
1614,Foo
1615,Foo
1616,Foo
1617,Foo
1618,Foo
1619,Foo
1620,Foo
1621,Foo
1622,Foo
1623,Foo
1624,Foo
1625,Foo
1626,Foo
1627,Foo
1628,Foo
1629,Foo
1630,Foo
1631,Foo
1632,Foo
1633,Foo
1634,Foo
1635,Foo
1636,Foo
1637,Foo
1638,Foo
1639,Foo
1640,Foo
1641,Foo
1642,Foo
1643,Foo
1644,Foo
1645,Foo
1646,Foo
1647,Foo
1648,Foo
1649,Foo
1650,Foo
1651,Foo
1652,Foo
1653,Foo
1654,Foo
1655,Foo
1656,Foo
1657,Foo
1658,Foo
1659,Foo
1660,Foo
1661,Foo
1662,Foo
1663,Foo
1664,Foo
1665,Foo
1666,Foo
1667,Foo
1668,Foo
1669,Foo
1670,Foo
1671,Foo
1672,Foo
1673,Foo
1674,Foo
1675,Foo
1676,Foo
1677,Foo
